,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0,cubcol.1.0,cubrow.0,blur,staticness,blockiness,color_fulness,tone,noise,movement,saturation,cubrow.1.0,cubrow.0.5,cubrow.0.3,temporal,cubcol.0.5,cubcol.0.3,contrast,fft,cubrow.0.6,cubcol.0.6,uhdhdsim
0,100,58.7477,11.9184,64,0.0,0,95,123,17,128,10,1.00335,57.30569,0.0,0.0,0.35714,4.613,0.0,0.0,0.0,130.0,34.90692,0.00237,0.45,1.472,0.0,0.565832,0.3261145237687075,0.0721918435840445,0.30337253331291203,23563.014587814167,248.8542859533206,3.3201893354716474,152.4541482973044,0.48139176470588235,0.6425798035739093,0.0,34.806673591519576,0.11732075058573505,0.19112122172398494,0.12854863254793167,0.0,0.15785398933793893,0.13540647887689886,93.06062611056767,73756.64091151989,0.16407335299216005,0.1796736828499685,84.59285029048311
1,101,58.6187,11.8592,64,18.9159,0,95,123,17,128,10,1.00905,57.196,0.0,0.0,0.0,4.64,10.24127,0.0,0.0,130.0,34.92734,0.00225,0.45,1.379,-1.0,0.579955,0.2957836453927456,0.07143037303324011,0.2434097494152317,23257.539567804724,246.6293537438507,3.1643540390712452,152.51888760287508,0.4819274509803923,0.641985592466512,3.0418113425925926,34.72407456386237,0.0909541328678798,0.1840899242319531,0.12042426104842698,4.331838777314322,0.14541599082769763,0.12787397282956336,92.4810358793444,73546.58044981373,0.15646942097606276,0.17466946739433342,84.61620907150889
2,102,58.4179,12.3659,63,18.9142,0,95,123,17,128,9,1.00139,56.99387,0.0,0.0,0.32143,4.616,10.19174,0.0,0.0,130.0,34.97302,0.00213,0.45,1.393,-1.0,0.6266,0.29889186535272855,0.0716313356202976,0.21977384001018546,23071.96663247787,244.88638654092716,3.106837702713898,152.44405065798503,0.4822854901960786,0.6419855924665094,2.828944830246914,34.915797104070215,0.08304504020916884,0.1813799757711974,0.11651636873181709,4.174093920431638,0.14451930679810074,0.11981305882638137,92.34115769478159,73678.51828321385,0.15398828779839827,0.17919150443975498,84.64558023999203
3,103,58.4801,11.5598,63,20.3724,0,95,123,17,128,10,1.00391,57.03662,0.0,0.0,0.10714,4.599,10.62518,0.0,0.0,130.0,35.01688,0.00204,0.45,1.423,-1.0,0.636224,0.30482761304926215,0.07025338585243318,0.21388048726905953,23024.621082792688,243.19001105938747,2.6667053583904115,152.5334893353123,0.4828239215686275,0.6381445514874461,2.6121720679012346,34.72781146014178,0.08099211494676008,0.17472922346508798,0.11209025203975326,4.522592214878342,0.14022936005783274,0.11118649143362373,92.91974390115615,73948.65774160689,0.1490752183741571,0.18400822917527493,84.61677175848662
4,104,58.2982,11.2003,63,18.4074,0,95,123,17,128,9,1.00258,56.83959,0.0,0.0,0.03571,4.627,9.93076,0.0,0.0,128.0,35.03244,0.00215,0.45,1.412,-1.0,0.596149,0.3136417457814352,0.07040608012125933,0.20756414154482175,22754.1638633253,241.81753752681783,2.458656569622895,152.50751015994268,0.4828509803921569,0.638144551487445,2.103009259259259,34.6986417417173,0.0818418757588139,0.1728764675584946,0.11176321982598472,4.411254928298553,0.13947726278858072,0.10771444701824825,92.96768836532978,73785.59957637147,0.1459998261437797,0.18778395525838346,84.66193415238037
5,105,58.3395,11.6357,63,17.8184,0,95,123,17,128,9,1.00976,56.89809,0.0,0.0,0.21429,4.629,9.62269,0.0,0.0,129.0,35.06803,0.00252,0.45,1.388,-1.0,0.623695,0.3183647770476378,0.06910078108276795,0.20103272227154365,22883.392188757458,240.57949312753394,3.2547092549524548,152.38666368195067,0.48286588235294126,0.6403621775306765,1.86328125,34.93528238932292,0.0842044732942193,0.17065401403417174,0.11153634284717684,4.422331327607869,0.1370373674240552,0.10921245831111338,91.65061167296608,73783.32914998506,0.14481287272774715,0.18848542851907638,84.60902120822277
6,106,58.2351,11.1329,63,19.5562,0,95,123,17,128,9,0.9927,56.78242,0.0,0.0,0.28571,4.646,9.99286,0.0,0.0,129.0,35.09426,0.0023,0.44,1.391,-1.0,0.580524,0.3207772191227364,0.06889897409550304,0.19795555122478156,22735.466431252404,239.32042438794414,3.6936464009871597,152.35791264062237,0.48396000000000006,0.6403621775306746,1.8933738425925926,34.8462215470679,0.08499458936444922,0.16677661280306205,0.11023321250881274,4.530571131919087,0.13501231044114506,0.11260754327972264,91.18945788513521,73782.63147924602,0.14117693863419828,0.18723860372399467,84.65827952300175
7,107,58.2461,11.0329,63,18.9786,0,95,123,17,128,9,0.98796,56.78089,0.0,0.0,0.32143,4.616,9.56054,0.0,0.0,129.0,35.12666,0.0023,0.44,1.343,-1.0,0.653555,0.3294756294529338,0.06899024431932493,0.19752447229399675,22792.77543610254,238.06868700307967,3.8568629927120432,152.21385026964128,0.48453254901960796,0.6400864031959993,1.6981095679012346,34.734861585828995,0.08601121017815912,0.16390036026853438,0.10964494221969898,4.461766698922892,0.13602271346510922,0.11857283240903019,92.28778759872597,73856.18459835913,0.13899653917379778,0.1825099292317148,84.63220567219535
8,108,58.1975,11.3116,63,19.0316,0,95,123,17,128,9,0.99657,56.74864,0.0,0.0,0.5,4.622,9.47383,0.0,0.0,129.0,35.14366,0.00246,0.45,1.4,0.13027,0.62405,0.33054351888444083,0.06894995029054327,0.19719190198081893,22666.04531381098,236.83388587666377,4.0412904188288,152.09787877186554,0.48454039215686273,0.6381445514874469,1.6063850308641976,34.47009183153694,0.0847678502833187,0.16268164365491763,0.11003910458641641,4.441938656317956,0.13633114214681336,0.1247291075894723,92.22674053552069,73696.76664595798,0.13769204286504916,0.17804828953359095,84.67644644276126
9,109,58.1479,11.2227,63,19.0723,0,95,123,17,128,9,0.9843,56.67061,0.0,0.0,0.32143,4.644,9.71471,0.0,0.0,129.0,35.17488,0.00255,0.45,1.404,-1.0,0.610666,0.33077026810512616,0.0685669498028086,0.19736543101726084,22741.07358004455,235.63605672809072,3.9295294941311307,152.2301940175742,0.48454039215686273,0.6381445514874452,1.6365740740740742,34.55488812481916,0.083195730404749,0.1605160497183003,0.11011297495290505,4.43617804020802,0.13549855302341926,0.12820544917751586,88.23244284041095,73938.61309202548,0.1366154477687879,0.17788661795874314,84.6768154408382
10,110,58.164,11.1005,63,19.2613,0,95,123,17,128,10,0.99272,56.67582,0.0,0.0,0.32143,4.653,9.63445,0.0,0.0,130.0,35.23447,0.00228,0.45,1.428,-1.0,0.60728,0.3327839302483401,0.06827391978269026,0.20002966733551297,22755.18435719769,234.4719072282617,4.0410389771211035,151.89883480699788,0.48510588235294116,0.6343035105083835,3.5125868055555554,34.52618690773293,0.08205504427878296,0.1582942698191951,0.10994143435297313,4.5095178801130915,0.1355305955351758,0.1312406955209838,89.53605272619606,74018.91192800165,0.13491572462919638,0.17754517163253858,84.7076506930616
11,111,58.0228,11.3981,63,17.9915,0,95,123,17,128,9,1.00922,56.55664,0.0,0.0,0.07143,4.65,9.52843,0.0,0.0,130.0,35.2426,0.00217,0.45,1.388,-1.0,0.643315,0.3331004955718559,0.06801193514930128,0.19888152043840768,22464.157316280507,233.44342076088884,4.3297225369582755,151.86822852773844,0.48483803921568625,0.635926925444215,3.890625,34.55734045711564,0.08073562141448272,0.1576821426538517,0.11024584837900621,4.471999829126542,0.13565762856558403,0.13367283134604305,92.38975908104368,73561.74448651649,0.1337714128536253,0.17823137818578885,84.65990182476362
12,112,57.9983,11.3861,63,18.806,0,95,123,17,128,9,1.00567,56.52776,0.0,0.0,0.14286,4.603,9.78495,0.0,0.0,130.0,35.28678,0.00211,0.45,1.386,-1.0,0.608522,0.32985792528859864,0.06748836299871488,0.19777736565675377,22444.235654387285,232.40935102406675,3.824828467858118,151.81140611117354,0.485641568627451,0.634303510508382,3.416329089506173,34.40464989932967,0.08016431151548382,0.15701551530361793,0.11036228202187953,4.489862659953745,0.13489151860331633,0.136446142641597,91.10768714203006,73690.76953024429,0.13350806132742055,0.17781475372172975,84.69982850723453
13,113,58.0731,11.1792,63,19.2086,0,95,123,17,128,9,1.00981,56.58379,0.0,0.0,0.10714,4.631,9.77393,0.0,0.0,130.0,35.32011,0.00211,0.45,1.363,-1.0,0.587856,0.32967612125248363,0.06758530164799254,0.19791692845743764,22606.77156734054,231.42618463411463,3.8546417723282076,151.69545430207208,0.485641568627451,0.6320858844651528,3.2743055555555554,34.40257903675974,0.0796184850642251,0.15676876925095257,0.11014763465372931,4.489341408078937,0.13366408607296032,0.14202709344086187,92.43506721439128,73655.56038805695,0.13327690247479984,0.17659784777765922,84.64733637595997
14,114,57.8964,11.5161,63,19.6258,0,95,123,17,128,9,0.98802,56.40336,0.0,0.0,0.35714,4.603,9.59967,0.0,0.0,130.0,35.35253,0.00228,0.45,1.27,-1.0,0.650219,0.32972920814735857,0.06794565453210782,0.19894120094165774,22460.9865263372,230.50884753260488,4.247283925293032,151.7593334902061,0.48617999999999995,0.6343035105083832,3.0710358796296298,34.52468250415943,0.07866933333919318,0.1576338950294982,0.1104158934721124,4.428898647425415,0.1332349793442876,0.14878301993311688,91.07768375594667,73445.0458302361,0.13291327411117212,0.1750215573143782,84.62448310448592
15,115,57.6729,11.2419,63,18.4224,0,95,123,17,128,9,0.98602,56.21166,0.0,0.0,0.07143,4.608,9.89062,0.0,0.0,130.0,35.38053,0.00232,0.44,1.292,-1.0,0.643681,0.32915942715782637,0.06828297300737282,0.20050528577585905,22058.691459275316,229.5993424789367,4.145537150341757,151.47732483654505,0.48620705882352944,0.6341442921220194,4.718557098765432,34.53110626597463,0.07763482804177914,0.1597379583115331,0.11118344824725895,4.4891067748561815,0.13258127286472432,0.1504170620372864,92.77719808401402,73233.89162003646,0.13242671868354716,0.17305853962522194,84.66610021780836
16,116,57.3797,11.1833,62,18.422,0,95,123,17,128,9,1.00012,55.91204,0.0,0.0,0.32143,4.636,9.65161,0.0,0.0,130.0,35.39739,0.00236,0.44,1.399,0.13117,0.66771,0.3279830902253567,0.06858478314885075,0.19994955736327652,21777.722232579155,228.70441904216466,4.043321873770308,151.70468415208597,0.48627454901960776,0.6276506323786933,4.7289255401234565,34.477048143928435,0.07662570228339169,0.16255186213800873,0.11085990211684693,4.378986756415242,0.1322749332702486,0.14902221985751885,92.92084667975233,73260.82575619864,0.13218769060871813,0.17227216219763544,84.77834101139399
17,117,57.2793,11.1424,62,17.7345,0,95,123,17,128,9,0.98596,55.83012,0.0,0.0,0.35714,4.591,9.60401,0.0,0.0,130.0,35.41222,0.00231,0.45,1.289,-1.0,0.631182,0.32543376222556897,0.0684525152761534,0.20034414731080094,21598.9786447639,227.82408330255726,4.114139629667038,151.3975346174641,0.4890529411764706,0.6320858844651526,4.643663194444445,34.397754056954085,0.07576506159654992,0.16516493771134258,0.11062400665666167,4.375901986678456,0.13203055714478024,0.15033300137823327,92.8851433149911,73254.4577711156,0.13233839698557642,0.1715331773090803,84.69155385020265
18,118,57.1768,10.7093,62,18.0695,0,95,123,16,128,9,0.99025,55.73022,0.0,0.0,0.0,4.588,9.57222,0.0,0.0,130.0,35.42151,0.00228,0.44,1.464,-1.0,0.683919,0.32313495745041476,0.06831128356445496,0.19959777837891196,21494.780687084898,226.98279537179397,4.183221767043917,151.51964207467392,0.48925368627450283,0.6320858844651484,4.36328125,34.43072057653357,0.07514821172177803,0.16680643729268246,0.11162944941909736,4.374760263125866,0.1320233937719344,0.1520275396937423,92.95489207802382,73237.35071684602,0.1325546923703124,0.17045325405901032,84.71656840643645
19,119,57.1761,10.6485,62,17.291,0,95,123,16,128,9,0.98964,55.70956,0.0,0.0,0.17857,4.566,9.1965,0.0,0.0,130.0,35.42633,0.00211,0.45,1.307,-1.0,0.668354,0.32143838635249705,0.06837762417515952,0.19924276268171823,21364.39997438966,226.18244899425537,3.8869060419280452,151.32550324845582,0.49014352941176476,0.6292740473145266,4.026138117283951,34.51674718032648,0.07471104370708206,0.16879423689042608,0.11298684883891774,4.1926474719530225,0.13240053674691693,0.15206304495544645,91.48202234474059,73435.88954041553,0.13290412592232048,0.16923739432641666,84.70390656374607
20,120,56.941,10.6554,62,18.9425,0,95,123,16,128,9,0.9956,55.51078,0.0,0.0,0.03571,4.575,9.14156,0.0,0.0,129.0,35.41626,0.00228,0.45,1.312,-1.0,0.688052,0.3191353008737323,0.06848963007032789,0.19938305160598976,21181.07136424351,225.4109891884286,4.0044535528384015,151.04145804022735,0.49014352941176476,0.632085884465149,5.165123456790123,34.31477977611401,0.07407057607909717,0.1711962245226749,0.11464979821213882,4.189098567794698,0.13266650714081804,0.1511784461784648,92.33763219877589,73317.0634813097,0.133172663340365,0.16975514049154816,84.72604925556948
21,121,56.8411,10.437,62,18.0575,0,95,123,16,128,9,1.01138,55.42462,0.0,0.0,0.07143,4.573,9.14792,0.0,0.0,129.0,35.43163,0.00232,0.45,1.274,-1.0,0.649372,0.31525413178777695,0.06831128456618317,0.20043403561985845,21072.54139686374,224.64208138029582,4.140773302337717,150.69958170105173,0.49067921568627454,0.6320858844651498,5.001398533950617,34.465718587239586,0.07375752699570343,0.17331194298590166,0.11585887531702249,4.184082141955099,0.13223341179736264,0.15300174216865586,91.4010018360603,73115.67708994848,0.13381072770497654,0.16988747250992567,84.76782145837802
22,122,56.8553,10.5853,61,16.4157,0,95,123,16,128,9,0.99897,55.41664,0.0,0.0,0.0,4.562,8.95975,0.0,0.0,129.0,35.43094,0.00228,0.45,1.323,-1.0,0.672455,0.31258841942055693,0.06812245754624985,0.20116206520959193,21278.967490470317,223.8872937964363,3.946457462330234,150.61221570551004,0.49014352941176476,0.6292740473145244,4.792679398148148,34.373104330934126,0.07344648256331886,0.1747715301311335,0.11667755799140812,4.189387530647463,0.13258423516755044,0.15532565759055608,92.29842035530554,73221.12241195173,0.13415339504122276,0.1687176876235408,84.75421979614141
23,123,56.8602,11.2617,61,17.3412,0,95,123,16,128,9,0.99818,55.40962,0.0,0.0,0.46429,4.54,9.08374,0.0,0.0,129.0,35.41615,0.00224,0.44,1.375,-1.0,0.658571,0.31220579179757035,0.06816818870399065,0.2019243790809857,21295.485358193233,223.164492302529,4.356645397386881,150.55768580941768,0.4913663137254901,0.6276506323786908,4.73828125,34.52026988841869,0.07303003960070022,0.1759789520791682,0.11730866564845426,4.154774328830416,0.13275594168301094,0.15831072615911235,92.26845178370473,73313.55172228593,0.13475531258415746,0.1675375465932805,84.79615086086598
24,124,56.5509,10.4927,61,18.2396,0,95,123,16,128,9,1.0019,55.11799,0.0,0.0,0.25,4.497,9.66512,0.0,0.0,129.0,35.40334,0.00225,0.45,1.312,0.13027,0.640593,0.3100343333945135,0.06814308815919827,0.20198117412484928,20902.752317569666,222.41834180273247,4.764336844221426,150.3469550581967,0.49124470588235297,0.6276506323786938,4.988667052469136,34.33269736207561,0.07277637680925982,0.17602550292990288,0.11761556134751422,4.428933691014496,0.1324192747104183,0.15887290780025315,93.04692867167084,73190.76208784604,0.13555089292167827,0.16689627253202796,84.8078664051956
25,125,56.4728,10.3941,61,17.8538,0,95,123,16,128,9,0.98479,55.05095,0.0,0.0,0.10714,4.509,9.00335,0.0,0.0,130.0,35.38441,0.00225,0.45,1.365,-1.0,0.646242,0.30827130113978723,0.06822353922696711,0.2015107862904843,20696.59764024344,221.68781333057558,4.036627099639857,150.15654279387314,0.4912525490196079,0.6260272174428595,5.944155092592593,34.423350393036266,0.07233415812310642,0.17610532698086517,0.11700210181028393,4.242830470783223,0.13274883163736267,0.15989410305360752,92.62983994043888,73135.75281638466,0.13597578143972863,0.16777446065578294,84.73625708523105
26,126,56.2889,10.8394,61,17.2902,0,95,123,16,128,9,0.99889,54.89389,0.0,0.0,0.14286,4.529,8.91795,0.0,0.0,130.0,35.37525,0.00215,0.44,1.304,-1.0,0.71849,0.30718077937395816,0.0681727328135128,0.20126678006920518,20520.26625123072,220.96560529632478,4.3285894631830155,150.03863688298105,0.49181019607843135,0.6260272174428576,5.946518132716049,34.297894324785396,0.07173923704072978,0.17603118206440177,0.1158674215581374,4.277329954162975,0.1340623163277487,0.158152028181461,92.67025804181938,73192.38997346151,0.13605321176825716,0.16838734100887262,84.8080594150046
27,127,56.0232,10.2274,60,18.5614,0,95,123,16,128,9,1.00934,54.62447,0.0,0.0,0.32143,4.538,9.30363,0.0,0.0,130.0,35.37398,0.00214,0.44,1.33,-1.0,0.67492,0.3065165913106028,0.06804185892556167,0.2006532791876238,20210.75650973824,220.24924422402776,3.95944357966353,150.1276740768306,0.49181019607843135,0.6238095913996274,6.0859375,34.34914558316454,0.07161006512095429,0.17585453095118886,0.11474215625908012,4.391173990508427,0.13535822313732654,0.1566841097014167,92.98653941907502,72973.16503429317,0.13609323303872076,0.1683468425431193,84.86704733950957
28,128,56.0466,10.8056,60,16.4928,0,95,123,16,128,9,0.9902,54.6667,0.0,0.0,0.42857,4.549,8.77383,0.0,0.0,130.0,35.389,0.00204,0.45,1.333,-1.0,0.670472,0.3052835374470188,0.06808262818878712,0.20043357442681514,20138.828061690863,219.5461027905126,4.1936010178038785,150.03131004855896,0.49181803921568634,0.6260272174428604,6.073881172839506,34.14837985568576,0.07116917957527694,0.17599366666908586,0.11377599392106996,4.258587381588584,0.1368863261647503,0.15572390172997908,92.92914790748843,72916.9089675095,0.13613800898353973,0.16742048987072813,84.90695607922127
29,129,55.9293,10.229,60,17.7831,0,95,123,16,128,9,0.99996,54.54083,0.0,0.0,0.25,4.573,9.2705,0.0,0.0,130.0,35.37384,0.0022,0.45,1.326,-1.0,0.660773,0.304446132193958,0.06780057226036008,0.2001232658591349,20175.37877871374,218.87108545753026,4.322548386342714,150.04158036707764,0.49181803921568634,0.6238095913996257,5.971547067901234,34.488715654538,0.07128845819910362,0.1761972391468044,0.11279106254862308,4.514524278642054,0.13848138220494108,0.15546868757930077,92.39663690661672,73009.49836359573,0.13613570838075575,0.16616895082820052,84.87978268766827
30,130,55.8765,10.2407,60,17.8647,0,95,123,16,128,9,1.0092,54.48961,0.0,0.0,0.25,4.574,8.77522,0.0,0.0,130.0,35.37011,0.00234,0.45,1.285,-1.0,0.685589,0.30305504080891077,0.06763320107236753,0.20015446739105844,20152.142052185554,218.21755076571682,3.5113512363440793,149.84141610148762,0.49181803921568634,0.6238095913996293,6.648099922839506,34.37116608796296,0.07155687785965198,0.1762553276017614,0.11193307977588882,4.359172299187319,0.13879902947254769,0.15621750564706238,90.7337346823601,72941.35036311611,0.13706859424875786,0.16682946007684615,84.86922448971865
31,131,55.7654,10.2691,60,18.0652,0,95,123,16,128,9,0.99237,54.40348,0.0,0.0,0.25,4.544,8.78485,0.0,0.0,130.0,35.3728,0.00223,0.44,1.297,-1.0,0.663378,0.3014111532651117,0.06751578921784196,0.20042290245540298,20069.34061883928,217.5514063402444,3.677440924112232,149.68326245027887,0.49181803921568634,0.6276506323786902,6.661072530864198,34.111934332200036,0.07247822402543062,0.17604039052797665,0.111131186917837,4.366590296989089,0.1384486470533487,0.15880909844032057,92.8108762779884,72861.16099325378,0.13733392151401203,0.16731553655147963,84.85824846912197
