,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,contrast,staticness,uhdhdsim,blur,saturation,blockiness,cubcol.0,cubcol.0.6,cubcol.1.0,cubcol.0.3,cubrow.1.0,cubrow.0.5,movement,cubcol.0.5,temporal,cubrow.0.3,tone,cubrow.0.6,color_fulness,fft,noise,cubrow.0
24,124,88.9116,14.6846,108,17.1942,0,104,125,38,127,26,0.98857,94.82015,0.0,0.0,5.71429,3.707,12.62896,0.0,0.0,125.0,45.92173,0.00358,1.8,3.314,0.12603,1e-06,91.08755205675739,274.209574924182,81.07759899896193,68535.39421348092,29.780841968677663,2.745786455555236,0.3562200801070906,0.334905306533475,0.2578982508366992,0.29039220291381634,0.15679123877959644,0.2439175285560156,6.446180555555555,0.3196081719085401,4.631137190886571,0.3266142348954781,0.6259627450980392,0.25458707632740524,160.46286792179308,73684.39123084041,1.3909687836774332,0.3247424537739501
25,125,88.8749,14.7404,108,18.0652,0,104,125,38,127,26,0.98991,94.75905,0.0,0.0,5.21429,3.709,12.61614,0.0,0.0,125.0,45.93597,0.00386,1.79,2.911,-1.0,2e-06,92.86811885785536,273.4536101340303,81.09289579167283,68612.33400545915,29.846289175528067,2.657194046007171,0.3564377498615163,0.33382965304641227,0.2569168863830173,0.2903816168199159,0.1570227817091296,0.2444223795804829,7.151523919753086,0.3190249401295698,4.604973307223032,0.3261273775868519,0.6259776470588235,0.254932356094027,160.51315972352015,73712.06085563182,1.389939579848999,0.32462634445997646
26,126,88.8782,14.6582,107,18.0141,0,104,125,38,127,26,0.98882,94.74494,0.0,0.0,5.0,3.697,12.65987,0.0,0.0,125.0,45.93278,0.00356,1.8,3.063,-1.0,1e-06,92.32933619328551,272.71148263237285,81.07409227024885,68590.26676824354,29.865356822072727,4.792562732288138,0.3554868077922843,0.33269471378166565,0.2560277694392664,0.29046055802347287,0.1571474514117944,0.24476428176049844,7.1823398919753085,0.3183357524070309,4.694381865268847,0.3258741984615859,0.6260309803921569,0.2548906296937593,160.5878370729041,73791.6950027179,1.3849101166551432,0.32448560954547956
27,127,88.8215,14.5561,107,18.1092,0,104,125,38,127,26,0.98653,94.69537,0.0,0.0,5.25,3.692,12.59587,0.0,0.0,125.0,45.91173,0.0035,1.81,2.893,-1.0,0.0,93.43059442581679,271.97482605091,81.07377012164787,68223.85537205667,29.890932247962482,4.471790789582234,0.354810863742391,0.33222422693768994,0.25542902137561013,0.2905704291596647,0.15783402805382798,0.24518485067202636,7.088541666666667,0.31752692514858905,4.6819517061316835,0.3255336984434732,0.6260513725490197,0.25494252011375956,160.64116824557544,73823.524263623,1.387127742698369,0.3244749084861975
28,128,88.7369,14.5512,107,17.9467,0,104,125,38,127,26,0.98225,94.62762,0.0,0.0,5.96429,3.698,12.5067,0.0,0.0,125.0,45.8708,0.00345,1.8,3.041,-1.0,0.0,96.71054901675252,271.25812760352085,81.11014487417968,68071.77094207102,29.888892091350787,3.259270389031482,0.3546328386933171,0.33219640747935264,0.25530616114292265,0.2905101892124857,0.1576494989034193,0.2448440934754881,7.078221450617284,0.31706405486223566,4.63796727233372,0.3255555015197383,0.6257098039215687,0.2551079393933312,160.69160181761507,73782.24322680685,1.389345368741606,0.3244405662892622
29,129,88.7433,14.5846,107,17.5064,0,104,125,38,127,26,0.98468,94.63248,0.0,0.0,6.71429,3.7,12.49874,0.0,0.0,125.0,45.85623,0.00343,1.79,2.88,-1.0,0.0,94.73601088553785,270.5554255975904,81.10629709012743,68070.95957956664,29.878587699230806,3.1807101275819387,0.3549066877699605,0.3318684609931835,0.2552217656544685,0.29065464711834765,0.15755002929121534,0.24457855587930294,7.426359953703703,0.31673266540097583,4.683008376154338,0.3254459080279313,0.6258866666666667,0.25511415914961333,160.70799798357712,73798.28499246709,1.3883161649131663,0.3243775875199534
30,130,88.696,14.5645,107,16.9694,0,104,125,38,127,26,0.98129,94.61411,0.0,0.0,6.57143,3.702,12.52871,0.0,0.0,125.0,45.84391,0.00358,1.8,3.032,-1.0,0.0,96.16663280169143,269.87219846331215,81.09420093055343,68033.50638176964,29.86176026897666,3.964687797668267,0.35527202661064394,0.3318232558856546,0.2550009481994295,0.29068579029744696,0.1575222510097624,0.2447338259279581,7.757908950617284,0.31501817724354675,4.769887433859131,0.32544783525313653,0.6256125490196078,0.2551964323461368,160.64562166670316,73775.22402692445,1.3893453687416055,0.3242517663180172
31,131,88.7093,14.6079,107,17.7866,0,104,125,38,127,26,0.98708,94.61046,0.0,0.0,6.67857,3.702,12.51732,0.0,0.0,125.0,45.8479,0.00343,1.78,3.153,-1.0,2e-06,93.20407595835219,269.1805831178908,81.07617614905604,68051.18432070212,29.837511227454666,2.386485383347322,0.3552970101595882,0.33158943202205177,0.2547324208264899,0.2907933258426746,0.15757383796339228,0.24476446902657603,7.705343364197531,0.3138942348352835,4.649320647639599,0.3256713810358841,0.6254835294117633,0.2555064853887324,160.5738927040354,73673.72660457,1.3877219538057723,0.32412179092442633
32,132,88.7329,14.6396,107,18.4061,0,104,125,38,127,26,0.98566,94.61828,0.0,0.0,4.82143,3.686,12.55152,0.0,0.0,125.0,45.85136,0.00343,1.79,3.525,0.12603,2e-06,92.99476961597406,268.52264925340484,81.08098683345227,68119.75411661912,29.799806194540896,4.117320748194843,0.35566969383808833,0.33110826993726833,0.25441787753266043,0.2908550610969687,0.1576395407515693,0.24418088267713514,7.629774305555555,0.31268184930450094,4.74967461185154,0.32558848895371495,0.6256266666666667,0.25576453479090516,160.5239436015001,73794.68967030378,1.3893453687416102,0.32402496045850493
33,133,88.6344,14.5012,107,18.4338,0,104,125,38,127,26,0.98052,94.5172,0.0,0.0,5.92857,3.694,12.57835,0.0,0.0,125.0,45.84056,0.0032,1.79,3.109,-1.0,1e-06,92.49282758764537,267.86307430933834,81.10749662015373,67930.95752719548,29.738566269109278,2.6803448284072786,0.35541609140159636,0.3308271954891696,0.2540808265632936,0.29071653678594345,0.15740623303871584,0.24356648248201657,7.618200231481482,0.3114821253272696,4.801348260603345,0.3258146568579939,0.6256266666666667,0.25577468385713253,160.4978408373147,73843.80593851357,1.38978036146264,0.3239545730062022
34,134,88.5481,14.3481,107,17.6706,0,104,125,38,127,26,0.97773,94.44206,0.0,0.0,5.60714,3.682,12.4609,0.0,0.0,125.0,45.83406,0.00279,1.79,3.109,-1.0,2e-06,93.25989272133174,267.22554309632307,81.10296700006475,67611.82753766466,29.684340488763507,2.8800509924747604,0.35549890730427797,0.33043647823751904,0.25403461427212926,0.29068676451049463,0.1577069615785629,0.24304772959808557,7.840036651234568,0.3106969534492056,4.752026553560149,0.3260498859058052,0.6256650980392158,0.2560844366499332,160.51001350313408,73642.82121366997,1.3903745725700423,0.3238982976425209
35,135,88.6093,14.2917,107,16.9511,0,104,125,38,127,26,0.98292,94.47503,0.0,0.0,5.03571,3.672,12.32891,0.0,0.0,125.0,45.84208,0.00313,1.81,2.924,-1.0,1e-06,93.45396590986086,266.59634109751596,81.1008802121978,67865.84393044125,29.6629067880136,3.210627770908556,0.35573315640322956,0.33037772171478874,0.25395177611727343,0.2907315914611609,0.15766875374279937,0.2425599322950813,8.007860725308642,0.3106085944649524,4.62951885862852,0.32650439633113426,0.6254733333333333,0.2561222982594533,160.48991908572197,73692.94463943267,1.3877219538057755,0.32396566509699465
36,136,88.5376,14.3127,107,17.0148,0,104,125,38,127,25,0.98469,94.39384,0.0,0.0,5.25,3.694,12.27756,0.0,0.0,125.0,45.84772,0.00329,1.79,2.853,-1.0,0.0,93.61572758860632,265.9993177510526,81.09593724548412,67777.48808323548,29.657297581802176,2.5745478221209894,0.35625159026302744,0.3307504326115159,0.2536608048981878,0.2908768344775574,0.15748240794106208,0.24204241578705893,8.00535300925926,0.3096890929848098,4.689393084809379,0.32694566747011944,0.6256650980392158,0.25617456140241207,160.43704663012917,73773.59397159074,1.3877219538057677,0.3239392292789359
37,137,88.4283,14.0682,107,16.9753,0,104,125,38,127,25,0.98102,94.3031,0.0,0.0,3.78571,3.684,12.30475,0.0,0.0,125.0,45.85146,0.00365,1.8,3.132,-1.0,1e-06,93.45406596861785,265.4159313850252,81.08951700782477,67458.0013072485,29.61308721848476,4.140761773968161,0.35650587359111363,0.3313126845051051,0.25344736639044724,0.2908120683841775,0.15745741947788683,0.2414511334814083,7.987509645061729,0.30932258596066364,4.938793196798256,0.3274883684733095,0.6254709803921569,0.2562336445830395,160.4522622242257,73705.26173334145,1.3893453687416064,0.32373718907717114
38,138,88.3658,14.1105,107,16.5589,0,104,125,38,127,25,0.9892,94.24107,0.0,0.0,4.42857,3.684,12.09639,0.0,0.0,125.0,45.84734,0.0035,1.8,3.051,-1.0,0.0,93.46028107250555,264.85415086083293,81.08062598623613,67121.98566155875,29.58538121352961,4.409491322986485,0.3570317760291179,0.3312197218877483,0.2535487465034979,0.2909471799172344,0.15743923350288214,0.24098228555814954,8.052083333333334,0.30868439103972006,4.641729298539031,0.3281535325956074,0.6255329411764706,0.2560774506127488,160.4474484308671,73705.13979225927,1.387721953805772,0.32363415390706995
39,139,88.4173,14.0116,107,17.2461,0,104,125,38,127,25,0.98679,94.29444,0.0,0.0,4.10714,3.678,12.12301,0.0,0.0,125.0,45.85215,0.0034,1.79,3.118,-1.0,1e-06,93.90938163919711,264.3044013958974,81.06285656082127,67376.57998137074,29.585754771291473,2.948340874791059,0.35814638152220396,0.3305367077500287,0.2537106597089643,0.29152622238475584,0.15742103978007554,0.24042102971824705,8.17481674382716,0.30872602162724583,4.613044778767668,0.3288344067276976,0.6255101960784314,0.25603575581580607,160.41154189496655,73716.36383344013,1.387721953805772,0.3235068128963964
40,140,88.4015,13.9014,107,17.1724,0,104,125,38,127,25,0.98421,94.26514,0.0,0.0,5.96429,3.679,12.03737,0.0,0.0,125.0,45.85532,0.00314,1.8,3.091,0.1268,1e-06,91.34477361512062,263.7768833930252,81.07370115332819,67153.48995716737,29.575602778682004,2.5407452686078833,0.35955040858266313,0.32977805093497115,0.2538008531624361,0.29193208507558394,0.15746089451649384,0.24000133359826029,8.266830632716049,0.3088817337222678,4.590144997939505,0.3294653602631573,0.6254349019607843,0.256021397973141,160.4041260356048,73608.12269383702,1.387721953805766,0.32347298812186176
41,141,88.4245,13.8627,107,16.1611,0,104,125,38,127,25,0.98192,94.25711,0.0,0.0,5.35714,3.695,11.94463,0.0,0.0,125.0,45.86767,0.00346,1.79,2.943,-1.0,1e-06,94.76279751134942,263.25169513534456,81.0937243118704,67183.84670629268,29.530442414460357,2.8938399154419976,0.3607256460080054,0.32887068106151157,0.2538536919259269,0.2916652556920549,0.15752990578169646,0.23999755789666577,8.252700617283951,0.3096923835099156,4.738023247513828,0.3302212286289539,0.625464705882353,0.2558556796351133,160.34286278841788,73660.2620970471,1.3871277426983761,0.3233688784387836
42,142,88.4551,13.822,107,16.5706,0,104,125,38,127,25,0.98138,94.28453,0.0,0.0,5.46429,3.674,11.90914,0.0,0.0,125.0,45.88014,0.00322,1.79,3.015,-1.0,0.0,91.69830185850645,262.7247121680756,81.08652929213335,67146.25439728601,29.547575962396316,2.412904032290644,0.3616899987218207,0.3279367701971856,0.25395356765748095,0.29137153795361104,0.15770031635830176,0.2400294031865873,8.292534722222221,0.30940708507260245,4.774321632969563,0.33106925439279544,0.6257848235294107,0.2557456792937809,160.36861906933805,73710.24417910891,1.3800398718476448,0.32324810523703185
43,143,88.4188,13.7887,107,16.0183,0,104,125,38,127,25,0.98389,94.26226,0.0,0.0,4.10714,3.692,11.88037,0.0,0.0,125.0,45.87635,0.00298,1.79,2.996,-1.0,0.0,94.30184524526145,262.206512583917,81.08789056333094,67122.08543463769,29.51837045175058,2.082799527333408,0.3625562533015287,0.3270325743877799,0.2540288174675306,0.2909667393943744,0.1579089086092176,0.24023240892005637,8.411458333333334,0.3093962936610031,4.754265956510703,0.3319037272256684,0.6259329411764706,0.25547427991494054,160.34088234876398,73668.58718314562,1.384315905547748,0.3230879325954778
44,144,88.3779,14.0184,107,16.4478,0,104,125,38,127,25,0.9837,94.22419,0.0,0.0,4.25,3.7,11.85401,0.0,0.0,125.0,45.87461,0.00315,1.77,3.181,-1.0,0.0,91.42099769804987,261.6934214284582,81.07143684436741,66912.7539468047,29.526016423731676,2.1232496728641532,0.36357077435031837,0.32627846619795825,0.25429401696940257,0.2906778680885921,0.15817487205075306,0.24009592695907145,8.415605709876543,0.3096980719236896,4.564630893672921,0.33267510932604155,0.6260301960784314,0.2554082176062561,160.3183552599338,73624.11208543942,1.387721953805767,0.32294543407545645
45,145,88.4603,14.167,107,15.7721,0,104,125,38,127,25,0.9873,94.29451,0.0,0.0,6.14286,3.682,12.05068,0.0,0.0,125.0,45.88069,0.00359,1.79,2.913,-1.0,1e-06,93.84721507145956,261.18950560916755,81.07629384650473,67133.26721757963,29.51550519024884,3.8942609121137637,0.3648913429191336,0.3255576990991668,0.2546010154645718,0.2903054145554469,0.15860783893557692,0.23994203459369876,8.440538194444445,0.3100711312716876,4.804239225759168,0.33347186307187693,0.6262603921568628,0.25539927938234885,160.327760172819,73781.44659974371,1.3855043277625423,0.32283955345927384
46,146,88.4931,13.8221,107,16.4668,0,104,125,38,127,25,0.99222,94.33741,0.0,0.0,4.35714,3.685,12.17379,0.0,0.0,125.0,45.88273,0.0032,1.78,3.042,-1.0,1e-06,93.75104273778484,260.6929998356539,81.06255594795618,67109.68894059675,29.502934397002793,3.450874416570509,0.3657464034849461,0.32496051142712484,0.2546229429519295,0.2901902284691594,0.15959530182306833,0.23984702322096838,8.40721450617284,0.31050000452489507,5.014686138138977,0.3341947435585865,0.626498431372549,0.25530052556077437,160.3169166617384,73736.75289302155,1.387127742698368,0.32264374625754866
47,147,88.4628,13.8422,107,16.1268,0,104,125,38,127,25,0.98676,94.31263,0.0,0.0,5.0,3.677,11.87472,0.0,0.0,125.0,45.8829,0.00312,1.79,3.09,-1.0,1e-06,91.16840354224625,260.19194243200786,81.0726126499081,67028.01496456066,29.477008207344713,3.2828503960481914,0.36654218782970066,0.3245644684932794,0.2547808757747588,0.29011433693556454,0.15990935025761333,0.23975686016213443,8.406828703703704,0.31077328577610924,4.5805146530584,0.3350684624898709,0.6264898039215686,0.25539566198571667,160.2675828998062,73708.08259601738,1.3816632867834775,0.32249576452355316
48,148,88.502,13.824,107,17.0249,0,104,125,38,127,25,0.9876,94.35271,0.0,0.0,4.28571,3.697,11.89475,0.0,0.0,125.0,45.88647,0.0034,1.79,2.925,0.12551,0.0,93.64261422822807,259.7106027890703,81.06061876098694,67032.14839983726,29.448448275342397,3.389999174459709,0.3675042403843639,0.3241947524085481,0.2550557776283743,0.2900825798061449,0.15989440829674603,0.23979485152390909,8.382040895061728,0.3113520496932705,4.5470632615205115,0.3357258214443166,0.6265062745098039,0.25531263671381904,160.21671025937724,73649.47226956852,1.3877219538057712,0.32240743422407064
49,149,88.4855,,107,17.1584,0,104,125,38,127,25,0.9832,94.34207,0.0,0.0,4.85714,3.709,11.87618,0.0,0.0,125.0,45.89025,0.00381,1.78,3.024,-1.0,1e-06,94.55290645982804,259.2287548087751,81.09954255665232,67045.26975214439,29.450758380654417,3.312845332593615,0.3679868553206903,0.3236195072575074,0.25522624539073246,0.2902295874377399,0.16004575126850232,0.23959264165336006,8.356577932098766,0.3117616122002218,4.747386958598465,0.3364177000213831,0.6267364705882352,0.25511455450700327,160.17754250720736,73618.92495325998,1.3877219538057688,0.3223134702347367
